company,jobSummary,jobTitle,location,url 
UnitedHealth Group,"Vamos falar de impacto! A Amil, parte da família de empresas do UnitedHealth Group, conta com uma equipe de profissionais de alto nível trabalhando em conjunto para ajudar as pessoas a viverem vidas mais saudáveis. A empresa oferece uma ampla variedade de planos de assistência médico-hospitalar e odontológica que proporcionam, aos seus mais de 5,9 milhões de beneficiários, acesso a serviços de alta qualidade. A Amil também possui uma extensa rede credenciada no país, que abrange cerca de 31,8 mil serviços de saúde, entre hospitais, consultórios, clínicas médicas, laboratórios e centros de diagnóstico por imagem. Se você busca maior impacto e mais desafio, a Amil é o lugar certo. É a oportunidade para realizar o melhor trabalho de sua vida. (SM)
,
,Responsabilidades:,
Executar toda a rotina de departamento pessoal;
,
Realizar atendimento aos colaboradores referente a solicitações, orientações e esclarecimento de dúvidas;
,
Receber e organizar documentos para arquivo;
,
Auxiliar nas rotinas de Ponto e processamento de informações para integração e lançamento na Folha de Pagamento;
,
Responsável por toda rotina de desligamento e admissão.
,
,Exigências do cargo:,
Formação superior completa é imprescindível;
,
Experiência em toda rotina de todos os processos relacionados a administração de pessoal;
,
Arquivo de documentos dos colaboradores;
,
Fornecer informações e atendimento aos colaboradores da regional de modo a sanar todas as dúvidas;
,
Experiência em atualizar as carteiras de Trabalho e Previdência Social dos colaboradores;
,
Controle no sistema das férias dos colaboradores;
,
Elaborar contratos de trabalho, ficha de registro;
,
Experiência em elaboração de todos os cálculos de rescisão;
,
Lançamento em Folha.
,
Inglês Avançado.","Analista Pessoal Senior - São Paulo, SP","São Paulo, SP",https://www.indeed.com.br/ver-emprego?jk=50180fc7e2fa8815&tk=1ca0ujdfp0nj36gb&from=serp&alid=3&advn=3303391347378714
UnitedHealth Group,"Vamos falar de impacto! A Amil, parte da família de empresas do UnitedHealth Group, conta com uma equipe de profissionais de alto nível trabalhando em conjunto para ajudar as pessoas a viverem vidas mais saudáveis. A empresa oferece uma ampla variedade de planos de assistência médico-hospitalar e odontológica que proporcionam, aos seus mais de 5,9 milhões de beneficiários, acesso a serviços de alta qualidade. A Amil também possui uma extensa rede credenciada no país, que abrange cerca de 31,8 mil serviços de saúde, entre hospitais, consultórios, clínicas médicas, laboratórios e centros de diagnóstico por imagem. Se você busca maior impacto e mais desafio, a Amil é o lugar certo. É a oportunidade para realizar o melhor trabalho de sua vida. SM
,
,Responsabilidades:,
Interagir com as áreas de Operações para identificar oportunidades de melhoria de processos, entender as necessidades e transformá-las em requisitos, sugerir a melhor alternativa com base no seu conhecimento técnico e criar a solução criando ferramentas adequadas.
,
Liderar projetos de robótica.
,
,Qualificações Necessárias:,
Curso superior completo (Programação, Ciência da Computação, Sistemas de Informação);
,
Necessário conhecimento de programação;
,
Necessário conhecimento em lógica de programação;
,
Microsoft Excel;
,
Inglês técnico.
,
,Qualificações Desejáveis:,
Experiência com robótica;
,
Pós graduação em gerenciamento de projetos ou BI.","Analista Processos Senior - São Paulo, SP","São Paulo, SP",https://www.indeed.com.br/ver-emprego?jk=8807ec7e83f6e970&tk=1ca0ujeag0nj35li&from=serp&alid=3&advn=3303391347378714
UnitedHealth Group,"Vamos falar de impacto! A Amil, parte da família de empresas do UnitedHealth Group, conta com uma equipe de profissionais de alto nível trabalhando em conjunto para ajudar as pessoas a viverem vidas mais saudáveis. A empresa oferece uma ampla variedade de planos de assistência médico-hospitalar e odontológica que proporcionam, aos seus mais de 5,9 milhões de beneficiários, acesso a serviços de alta qualidade. A Amil também possui uma extensa rede credenciada no país, que abrange cerca de 31,8 mil serviços de saúde, entre hospitais, consultórios, clínicas médicas, laboratórios e centros de diagnóstico por imagem. Se você busca maior impacto e mais desafio, a Amil é o lugar certo. É a oportunidade para realizar o melhor trabalho de sua vida. ( SM)
,
,Responsabilidades:,
Mapear as necessidades e propor soluções sistêmicas para melhorar o processo de negócio através de entrevistas com a área usuária.
,
Buscar as melhores soluções nos diversos sistemas implantados bem como os que estão disponíveis no mercado, através de uma visão holística e integrada das demandas.
,
Assegurar comunicação entre as equipes de desenvolvimento e de negócio para que o cliente tenha toda a informação necessária dos seus respectivos projetos, utilizando para isso os comitês de demandas, status report, atas de reunião e o sistema de gestão de projetos.
,
Desenvolver especificações funcionais e técnicas para desenvolvimento de customizações ou novos aplicativos, seguindo metodologia UML.
,
Apoiar a área usuária através do atendimento de chamados nível 2 em ferramenta de gestão.
,
Realizar treinamentos funcionais dos sistemas de responsabilidade da área de Soluções Corporativas, mantendo atualizada toda documentação de apoio.
,
Facilitar o desenvolvimento dos demais colaboradores da equipe com menor senioridade, orientando e compartilhando experiências.
,
,Qualificações:,
Graduação Completa em TI
,
Inglês Intermediário
,
Conhecimento em Banco de Dados SQL
,
Conhecimento dos processos de sistemas ERP
,
Experiência em Levantamento de Requisitos","Analista de Sistemas Senior - São Paulo, SP","São Paulo, SP",https://www.indeed.com.br/ver-emprego?jk=c084fa92bf7190e8&tk=1ca0ujeh50nj31te&from=serp&alid=3&advn=3303391347378714
UnitedHealth Group,"Vamos falar de impacto! A Amil, parte da família de empresas do UnitedHealth Group, conta com uma equipe de profissionais de alto nível trabalhando em conjunto para ajudar as pessoas a viverem vidas mais saudáveis. A empresa oferece uma ampla variedade de planos de assistência médico-hospitalar e odontológica que proporcionam, aos seus mais de 5,9 milhões de beneficiários, acesso a serviços de alta qualidade. A Amil também possui uma extensa rede credenciada no país, que abrange cerca de 31,8 mil serviços de saúde, entre hospitais, consultórios, clínicas médicas, laboratórios e centros de diagnóstico por imagem. Se você busca maior impacto e mais desafio, a Amil é o lugar certo. É a oportunidade para realizar o melhor trabalho de sua vida. (SM)
,
,Responsabilidades:,
Executar toda rotina de departamento pessoal;
,
Realizar atendimento aos colaboradores referentes a solicitações, orientações e esclarecimentos de dúvidas;
,
Receber e organizar documentos para arquivo;
,
Auxiliar nas rotinas de Ponto e processamento de informações para integração e lançamento na Folha de Pagamento, assim como todo o processo de desligamento.
,
,Exigências do cargo:,
Ampla experiência em toda rotina relacionadas a Administração de Pessoal;
,
Experiência em fornecer informações e atendimento aos colaboradores, de modo a sanar todas as dúvidas;
,
Experiência nos processos de admissão e desligamento de colaboradores;
,
Experiência em atualização de carteira de trabalho e Previdência Social dos Colaboradores;
,
Controlar e informar no sistema as férias dos colaboradores;
,
Emitir contratos de trabalho, ficha de registro e efetuar cadastro com os dados de admissão na Carteira Profissional do novo colaborador;
,
Experiência em confecção e controle de Crachás;
,
Experiência em Ponto;
,
Experiência em Folha de Pagamento.
,
Formação Superior em Recursos Humanos ou áreas afins;
,
Inglês intermediário.","Analista de Departamento Pessoal Pleno - São Paulo, SP","São Paulo, SP",https://www.indeed.com.br/ver-emprego?jk=3564f9c224b5579a&tk=1ca0ujfh40nj30eb&from=serp&alid=3&advn=3303391347378714
UnitedHealth Group,"Vamos falar de impacto! A Amil, parte da família de empresas do UnitedHealth Group, conta com uma equipe de profissionais de alto nível trabalhando em conjunto para ajudar as pessoas a viverem vidas mais saudáveis. A empresa oferece uma ampla variedade de planos de assistência médico-hospitalar e odontológica que proporcionam, aos seus mais de 5,9 milhões de beneficiários, acesso a serviços de alta qualidade. A Amil também possui uma extensa rede credenciada no país, que abrange cerca de 31,8 mil serviços de saúde, entre hospitais, consultórios, clínicas médicas, laboratórios e centros de diagnóstico por imagem. Se você busca maior impacto e mais desafio, a Amil é o lugar certo. É a oportunidade para realizar o melhor trabalho de sua vida. (SM)
,
,Responsabilidades:,
Executar toda rotina de departamento pessoal;
,
Realizar atendimento aos colaboradores referentes a solicitações, orientações e esclarecimentos de dúvidas;
,
Receber e organizar documentos para arquivo;
,
Auxiliar nas rotinas de Ponto e processamento de informações para integração e lançamento na Folha de Pagamento, assim como todo o processo de desligamento.
,
,Exigências do cargo:,
Ampla experiência em toda rotina relacionadas a Administração de Pessoal;
,
Experiência em fornecer informações e atendimento aos colaboradores, de modo a sanar todas as dúvidas;
,
Experiência nos processos de admissão e desligamento de colaboradores;
,
Experiência em atualização de carteira de trabalho e Previdência Social dos Colaboradores;
,
Controlar e informar no sistema as férias dos colaboradores;
,
Emitir contratos de trabalho, ficha de registro e efetuar cadastro com os dados de admissão na Carteira Profissional do novo colaborador;
,
Experiência em confecção e controle de Crachás;
,
Experiência em Ponto;
,
Experiência em Folha de Pagamento.
,
Formação Superior em Recursos Humanos ou áreas afins;
,
Inglês intermediário.","Analista de Departamento Pessoal Pleno - São Paulo, SP","São Paulo, SP",https://www.indeed.com.br/ver-emprego?jk=3564f9c224b5579a&tk=1ca0ujfhs0nj34bo&from=serp&alid=3&advn=3303391347378714
UnitedHealth Group,"Vamos falar de impacto! A Amil, parte da família de empresas do UnitedHealth Group, conta com uma equipe de profissionais de alto nível trabalhando em conjunto para ajudar as pessoas a viverem vidas mais saudáveis. A empresa oferece uma ampla variedade de planos de assistência médico-hospitalar e odontológica que proporcionam, aos seus mais de 5,9 milhões de beneficiários, acesso a serviços de alta qualidade. A Amil também possui uma extensa rede credenciada no país, que abrange cerca de 31,8 mil serviços de saúde, entre hospitais, consultórios, clínicas médicas, laboratórios e centros de diagnóstico por imagem. Se você busca maior impacto e mais desafio, a Amil é o lugar certo. É a oportunidade para realizar o melhor trabalho de sua vida. SM
,
,Responsabilidades:,
Atuar em todos os processos da área de suprimentos;
,
Participação na elaboração de estratégia de categoria, negociações (contratos e spot);
,
Atendimento ao cliente interno e fornecedores;
,
Acompanhamento da execução de contatro de fornecimento;
,
Propecção, qualificação e desenvolvimento de novos fornecedores.
,
,Qualificações Necessárias:,
Experiência em compras de medicamentos e materiais médicos;
,
Ampla experiência na área de Compras/Suprimentos;
,
Ampla experiência em compras de grande volume com grande quantiedade de SKUs;
,
Experiência em Negociação de contratos e compras spot;
,
Experiência em qualificação e desenvolvimento de fornecedores;
,
Experiência com sistemas/ferramentas de negociação e cotação;
,
Análise de contratos;
,
Formação superior completa em Engenharia e/ou Administração ou áreas afins;
,
Inglês nível avançado.
,
,Qualificações Desejáveis:,
Pós graduação/MBA na área;
,
Experiência com o sistema de cotação Mercado Eletrônico.","Analista Suprimentos Senior - São Paulo, SP","São Paulo, SP",https://www.indeed.com.br/ver-emprego?jk=d4becbe53ba4161c&tk=1ca0ujefu0nj35nm&from=serp&alid=3&advn=3303391347378714
UnitedHealth Group,"Vamos falar de impacto! A Amil, parte da família de empresas do UnitedHealth Group, conta com uma equipe de profissionais de alto nível trabalhando em conjunto para ajudar as pessoas a viverem vidas mais saudáveis. A empresa oferece uma ampla variedade de planos de assistência médico-hospitalar e odontológica que proporcionam, aos seus mais de 5,9 milhões de beneficiários, acesso a serviços de alta qualidade. A Amil também possui uma extensa rede credenciada no país, que abrange cerca de 31,8 mil serviços de saúde, entre hospitais, consultórios, clínicas médicas, laboratórios e centros de diagnóstico por imagem. Se você busca maior impacto e mais desafio, a Amil é o lugar certo. É a oportunidade para realizar o melhor trabalho de sua vida. SM
,
,Responsabilidades:,
Interagir com as áreas de Operações para identificar oportunidades de melhoria de processos, entender as necessidades e transformá-las em requisitos, sugerir a melhor alternativa com base no seu conhecimento técnico e criar a solução criando ferramentas adequadas .
,
,Qualificações Necessárias:,
Curso superior completo (Programação, Ciência da Computação, Sistemas de Informação);
,
Necessário conhecimento de programação;
,
Necessário conhecimento em lógica de programação;
,
Microsoft Excel;
,
Inglês técnico.
,
,Qualificações Desejáveis:,
Experiência com robótica;","Analista Processos Pleno - São Paulo, SP","São Paulo, SP",https://www.indeed.com.br/ver-emprego?jk=42324d40bb3b67c2&tk=1ca0ujfkb0nj32e8&from=serp&alid=3&advn=3303391347378714
UnitedHealth Group,"Vamos falar de impacto! A Amil, parte da família de empresas do UnitedHealth Group, conta com uma equipe de profissionais de alto nível trabalhando em conjunto para ajudar as pessoas a viverem vidas mais saudáveis. A empresa oferece uma ampla variedade de planos de assistência médico-hospitalar e odontológica que proporcionam, aos seus mais de 5,9 milhões de beneficiários, acesso a serviços de alta qualidade. A Amil também possui uma extensa rede credenciada no país, que abrange cerca de 31,8 mil serviços de saúde, entre hospitais, consultórios, clínicas médicas, laboratórios e centros de diagnóstico por imagem. Se você busca maior impacto e mais desafio, a Amil é o lugar certo. É a oportunidade para realizar o melhor trabalho de sua vida. ( SM)
,
,Responsabilidades:,
Mapear as necessidades e propor soluções sistêmicas para melhorar o processo de negócio através de entrevistas com a área usuária.
,
Buscar as melhores soluções nos diversos sistemas implantados bem como os que estão disponíveis no mercado, através de uma visão holística e integrada das demandas.
,
Assegurar comunicação entre as equipes de desenvolvimento e de negócio para que o cliente tenha toda a informação necessária dos seus respectivos projetos, utilizando para isso os comitês de demandas, status report, atas de reunião e o sistema de gestão de projetos.
,
Desenvolver especificações funcionais e técnicas para desenvolvimento de customizações ou novos aplicativos, seguindo metodologia UML.
,
Apoiar a área usuária através do atendimento de chamados nível 2 em ferramenta de gestão.
,
Realizar treinamentos funcionais dos sistemas de responsabilidade da área de Soluções Corporativas, mantendo atualizada toda documentação de apoio.
,
Facilitar o desenvolvimento dos demais colaboradores da equipe com menor senioridade, orientando e compartilhando experiências.
,
,Qualificações:,
Graduação Completa em TI
,
Inglês Intermediário
,
Conhecimento em Banco de Dados SQL
,
Conhecimento dos processos de sistemas ERP
,
Experiência em Levantamento de Requisitos","Analista de Sistemas Senior - São Paulo, SP","São Paulo, SP",https://www.indeed.com.br/ver-emprego?jk=c084fa92bf7190e8&tk=1ca0ujfaq0nj37nn&from=serp&alid=3&advn=3303391347378714
UnitedHealth Group,"Vamos falar de impacto! A Amil, parte da família de empresas do UnitedHealth Group, conta com uma equipe de profissionais de alto nível trabalhando em conjunto para ajudar as pessoas a viverem vidas mais saudáveis. A empresa oferece uma ampla variedade de planos de assistência médico-hospitalar e odontológica que proporcionam, aos seus mais de 5,9 milhões de beneficiários, acesso a serviços de alta qualidade. A Amil também possui uma extensa rede credenciada no país, que abrange cerca de 31,8 mil serviços de saúde, entre hospitais, consultórios, clínicas médicas, laboratórios e centros de diagnóstico por imagem. Se você busca maior impacto e mais desafio, a Amil é o lugar certo. É a oportunidade para realizar o melhor trabalho de sua vida. (SM)
,
,Responsabilidades:,
Executar toda a rotina de departamento pessoal;
,
Realizar atendimento aos colaboradores referente a solicitações, orientações e esclarecimento de dúvidas;
,
Receber e organizar documentos para arquivo;
,
Auxiliar nas rotinas de Ponto e processamento de informações para integração e lançamento na Folha de Pagamento;
,
Responsável por toda rotina de desligamento e admissão.
,
,Exigências do cargo:,
Formação superior completa é imprescindível;
,
Experiência em toda rotina de todos os processos relacionados a administração de pessoal;
,
Arquivo de documentos dos colaboradores;
,
Fornecer informações e atendimento aos colaboradores da regional de modo a sanar todas as dúvidas;
,
Experiência em atualizar as carteiras de Trabalho e Previdência Social dos colaboradores;
,
Controle no sistema das férias dos colaboradores;
,
Elaborar contratos de trabalho, ficha de registro;
,
Experiência em elaboração de todos os cálculos de rescisão;
,
Lançamento em Folha.
,
Inglês Avançado.","Analista Pessoal Senior - São Paulo, SP","São Paulo, SP",https://www.indeed.com.br/ver-emprego?jk=50180fc7e2fa8815&tk=1ca0ujg3m0nj3090&from=serp&alid=3&advn=3303391347378714
UnitedHealth Group,"Vamos falar de impacto! A Amil, parte da família de empresas do UnitedHealth Group, conta com uma equipe de profissionais de alto nível trabalhando em conjunto para ajudar as pessoas a viverem vidas mais saudáveis. A empresa oferece uma ampla variedade de planos de assistência médico-hospitalar e odontológica que proporcionam, aos seus mais de 5,9 milhões de beneficiários, acesso a serviços de alta qualidade. A Amil também possui uma extensa rede credenciada no país, que abrange cerca de 31,8 mil serviços de saúde, entre hospitais, consultórios, clínicas médicas, laboratórios e centros de diagnóstico por imagem. Se você busca maior impacto e mais desafio, a Amil é o lugar certo. É a oportunidade para realizar o melhor trabalho de sua vida. SM
,
,Responsabilidades:,
Interagir com as áreas de Operações para identificar oportunidades de melhoria de processos, entender as necessidades e transformá-las em requisitos, sugerir a melhor alternativa com base no seu conhecimento técnico e criar a solução criando ferramentas adequadas .
,
,Qualificações Necessárias:,
Curso superior completo (Programação, Ciência da Computação, Sistemas de Informação);
,
Necessário conhecimento de programação;
,
Necessário conhecimento em lógica de programação;
,
Microsoft Excel;
,
Inglês técnico.
,
,Qualificações Desejáveis:,
Experiência com robótica;","Analista Processos Pleno - São Paulo, SP","São Paulo, SP",https://www.indeed.com.br/ver-emprego?jk=42324d40bb3b67c2&tk=1ca0ujg8a0nj324q&from=serp&alid=3&advn=3303391347378714
UnitedHealth Group,"Vamos falar de impacto! A Amil, parte da família de empresas do UnitedHealth Group, conta com uma equipe de profissionais de alto nível trabalhando em conjunto para ajudar as pessoas a viverem vidas mais saudáveis. A empresa oferece uma ampla variedade de planos de assistência médico-hospitalar e odontológica que proporcionam, aos seus mais de 5,9 milhões de beneficiários, acesso a serviços de alta qualidade. A Amil também possui uma extensa rede credenciada no país, que abrange cerca de 31,8 mil serviços de saúde, entre hospitais, consultórios, clínicas médicas, laboratórios e centros de diagnóstico por imagem. Se você busca maior impacto e mais desafio, a Amil é o lugar certo. É a oportunidade para realizar o melhor trabalho de sua vida. SM
,
,Responsabilidades:,
Interagir com as áreas de Operações para identificar oportunidades de melhoria de processos, entender as necessidades e transformá-las em requisitos, sugerir a melhor alternativa com base no seu conhecimento técnico e criar a solução criando ferramentas adequadas.
,
Liderar projetos de robótica.
,
,Qualificações Necessárias:,
Curso superior completo (Programação, Ciência da Computação, Sistemas de Informação);
,
Necessário conhecimento de programação;
,
Necessário conhecimento em lógica de programação;
,
Microsoft Excel;
,
Inglês técnico.
,
,Qualificações Desejáveis:,
Experiência com robótica;
,
Pós graduação em gerenciamento de projetos ou BI.","Analista Processos Senior - São Paulo, SP","São Paulo, SP",https://www.indeed.com.br/ver-emprego?jk=8807ec7e83f6e970&tk=1ca0ujglr0nj33if&from=serp&alid=3&advn=3303391347378714
UnitedHealth Group,"Vamos falar de impacto! A Amil, parte da família de empresas do UnitedHealth Group, conta com uma equipe de profissionais de alto nível trabalhando em conjunto para ajudar as pessoas a viverem vidas mais saudáveis. A empresa oferece uma ampla variedade de planos de assistência médico-hospitalar e odontológica que proporcionam, aos seus mais de 5,9 milhões de beneficiários, acesso a serviços de alta qualidade. A Amil também possui uma extensa rede credenciada no país, que abrange cerca de 31,8 mil serviços de saúde, entre hospitais, consultórios, clínicas médicas, laboratórios e centros de diagnóstico por imagem. Se você busca maior impacto e mais desafio, a Amil é o lugar certo. É a oportunidade para realizar o melhor trabalho de sua vida. SM
,
,Responsabilidades:,
Interagir com as áreas de Operações para identificar oportunidades de melhoria de processos, entender as necessidades e transformá-las em requisitos, sugerir a melhor alternativa com base no seu conhecimento técnico e criar a solução criando ferramentas adequadas.
,
Liderar projetos de robótica.
,
,Qualificações Necessárias:,
Curso superior completo (Programação, Ciência da Computação, Sistemas de Informação);
,
Necessário conhecimento de programação;
,
Necessário conhecimento em lógica de programação;
,
Microsoft Excel;
,
Inglês técnico.
,
,Qualificações Desejáveis:,
Experiência com robótica;
,
Pós graduação em gerenciamento de projetos ou BI.","Analista Processos Senior - São Paulo, SP","São Paulo, SP",https://www.indeed.com.br/ver-emprego?jk=8807ec7e83f6e970&tk=1ca0ujgl70nj32sq&from=serp&alid=3&advn=3303391347378714
UnitedHealth Group,"Vamos falar de impacto! A Amil, parte da família de empresas do UnitedHealth Group, conta com uma equipe de profissionais de alto nível trabalhando em conjunto para ajudar as pessoas a viverem vidas mais saudáveis. A empresa oferece uma ampla variedade de planos de assistência médico-hospitalar e odontológica que proporcionam, aos seus mais de 5,9 milhões de beneficiários, acesso a serviços de alta qualidade. A Amil também possui uma extensa rede credenciada no país, que abrange cerca de 31,8 mil serviços de saúde, entre hospitais, consultórios, clínicas médicas, laboratórios e centros de diagnóstico por imagem. Se você busca maior impacto e mais desafio, a Amil é o lugar certo. É a oportunidade para realizar o melhor trabalho de sua vida. (SM)
,
,Responsabilidades:,
Executar toda rotina de departamento pessoal;
,
Realizar atendimento aos colaboradores referentes a solicitações, orientações e esclarecimentos de dúvidas;
,
Receber e organizar documentos para arquivo;
,
Auxiliar nas rotinas de Ponto e processamento de informações para integração e lançamento na Folha de Pagamento, assim como todo o processo de desligamento.
,
,Exigências do cargo:,
Ampla experiência em toda rotina relacionadas a Administração de Pessoal;
,
Experiência em fornecer informações e atendimento aos colaboradores, de modo a sanar todas as dúvidas;
,
Experiência nos processos de admissão e desligamento de colaboradores;
,
Experiência em atualização de carteira de trabalho e Previdência Social dos Colaboradores;
,
Controlar e informar no sistema as férias dos colaboradores;
,
Emitir contratos de trabalho, ficha de registro e efetuar cadastro com os dados de admissão na Carteira Profissional do novo colaborador;
,
Experiência em confecção e controle de Crachás;
,
Experiência em Ponto;
,
Experiência em Folha de Pagamento.
,
Formação Superior em Recursos Humanos ou áreas afins;
,
Inglês intermediário.","Analista de Departamento Pessoal Pleno - São Paulo, SP","São Paulo, SP",https://www.indeed.com.br/ver-emprego?jk=3564f9c224b5579a&tk=1ca0ujgkh0nj317o&from=serp&alid=3&advn=3303391347378714
UnitedHealth Group,"Vamos falar de impacto! A Amil, parte da família de empresas do UnitedHealth Group, conta com uma equipe de profissionais de alto nível trabalhando em conjunto para ajudar as pessoas a viverem vidas mais saudáveis. A empresa oferece uma ampla variedade de planos de assistência médico-hospitalar e odontológica que proporcionam, aos seus mais de 5,9 milhões de beneficiários, acesso a serviços de alta qualidade. A Amil também possui uma extensa rede credenciada no país, que abrange cerca de 31,8 mil serviços de saúde, entre hospitais, consultórios, clínicas médicas, laboratórios e centros de diagnóstico por imagem. Se você busca maior impacto e mais desafio, a Amil é o lugar certo. É a oportunidade para realizar o melhor trabalho de sua vida. SM
,
,Responsabilidades:,
Atuar em todos os processos da área de suprimentos;
,
Participação na elaboração de estratégia de categoria, negociações (contratos e spot);
,
Atendimento ao cliente interno e fornecedores;
,
Acompanhamento da execução de contatro de fornecimento;
,
Propecção, qualificação e desenvolvimento de novos fornecedores.
,
,Qualificações Necessárias:,
Experiência em compras de medicamentos e materiais médicos;
,
Ampla experiência na área de Compras/Suprimentos;
,
Ampla experiência em compras de grande volume com grande quantiedade de SKUs;
,
Experiência em Negociação de contratos e compras spot;
,
Experiência em qualificação e desenvolvimento de fornecedores;
,
Experiência com sistemas/ferramentas de negociação e cotação;
,
Análise de contratos;
,
Formação superior completa em Engenharia e/ou Administração ou áreas afins;
,
Inglês nível avançado.
,
,Qualificações Desejáveis:,
Pós graduação/MBA na área;
,
Experiência com o sistema de cotação Mercado Eletrônico.","Analista Suprimentos Senior - São Paulo, SP","São Paulo, SP",https://www.indeed.com.br/ver-emprego?jk=d4becbe53ba4161c&tk=1ca0ujgns0nj377r&from=serp&alid=3&advn=3303391347378714
UnitedHealth Group,"Vamos falar de impacto! A Amil, parte da família de empresas do UnitedHealth Group, conta com uma equipe de profissionais de alto nível trabalhando em conjunto para ajudar as pessoas a viverem vidas mais saudáveis. A empresa oferece uma ampla variedade de planos de assistência médico-hospitalar e odontológica que proporcionam, aos seus mais de 5,9 milhões de beneficiários, acesso a serviços de alta qualidade. A Amil também possui uma extensa rede credenciada no país, que abrange cerca de 31,8 mil serviços de saúde, entre hospitais, consultórios, clínicas médicas, laboratórios e centros de diagnóstico por imagem. Se você busca maior impacto e mais desafio, a Amil é o lugar certo. É a oportunidade para realizar o melhor trabalho de sua vida. ( SM)
,
,Responsabilidades:,
Mapear as necessidades e propor soluções sistêmicas para melhorar o processo de negócio através de entrevistas com a área usuária.
,
Buscar as melhores soluções nos diversos sistemas implantados bem como os que estão disponíveis no mercado, através de uma visão holística e integrada das demandas.
,
Assegurar comunicação entre as equipes de desenvolvimento e de negócio para que o cliente tenha toda a informação necessária dos seus respectivos projetos, utilizando para isso os comitês de demandas, status report, atas de reunião e o sistema de gestão de projetos.
,
Desenvolver especificações funcionais e técnicas para desenvolvimento de customizações ou novos aplicativos, seguindo metodologia UML.
,
Apoiar a área usuária através do atendimento de chamados nível 2 em ferramenta de gestão.
,
Realizar treinamentos funcionais dos sistemas de responsabilidade da área de Soluções Corporativas, mantendo atualizada toda documentação de apoio.
,
Facilitar o desenvolvimento dos demais colaboradores da equipe com menor senioridade, orientando e compartilhando experiências.
,
,Qualificações:,
Graduação Completa em TI
,
Inglês Intermediário
,
Conhecimento em Banco de Dados SQL
,
Conhecimento dos processos de sistemas ERP
,
Experiência em Levantamento de Requisitos","Analista de Sistemas Senior - São Paulo, SP","São Paulo, SP",https://www.indeed.com.br/ver-emprego?jk=c084fa92bf7190e8&tk=1ca0ujh1l0nj35qn&from=serp&alid=3&advn=3303391347378714
UnitedHealth Group,"Vamos falar de impacto! A Amil, parte da família de empresas do UnitedHealth Group, conta com uma equipe de profissionais de alto nível trabalhando em conjunto para ajudar as pessoas a viverem vidas mais saudáveis. A empresa oferece uma ampla variedade de planos de assistência médico-hospitalar e odontológica que proporcionam, aos seus mais de 5,9 milhões de beneficiários, acesso a serviços de alta qualidade. A Amil também possui uma extensa rede credenciada no país, que abrange cerca de 31,8 mil serviços de saúde, entre hospitais, consultórios, clínicas médicas, laboratórios e centros de diagnóstico por imagem. Se você busca maior impacto e mais desafio, a Amil é o lugar certo. É a oportunidade para realizar o melhor trabalho de sua vida. (SM)
,
,Responsabilidades:,
Executar toda a rotina de departamento pessoal;
,
Realizar atendimento aos colaboradores referente a solicitações, orientações e esclarecimento de dúvidas;
,
Receber e organizar documentos para arquivo;
,
Auxiliar nas rotinas de Ponto e processamento de informações para integração e lançamento na Folha de Pagamento;
,
Responsável por toda rotina de desligamento e admissão.
,
,Exigências do cargo:,
Formação superior completa é imprescindível;
,
Experiência em toda rotina de todos os processos relacionados a administração de pessoal;
,
Arquivo de documentos dos colaboradores;
,
Fornecer informações e atendimento aos colaboradores da regional de modo a sanar todas as dúvidas;
,
Experiência em atualizar as carteiras de Trabalho e Previdência Social dos colaboradores;
,
Controle no sistema das férias dos colaboradores;
,
Elaborar contratos de trabalho, ficha de registro;
,
Experiência em elaboração de todos os cálculos de rescisão;
,
Lançamento em Folha.
,
Inglês Avançado.","Analista Pessoal Senior - São Paulo, SP","São Paulo, SP",https://www.indeed.com.br/ver-emprego?jk=50180fc7e2fa8815&tk=1ca0ujh7v0nj37c1&from=serp&alid=3&advn=3303391347378714
